state,export,role,panel,method,mean_delta_mse,energy_distance,response_loss,without_own_response_loss,identity_advantage,output_change_mse
B-joint,external,external,native_all,model,26.374099907322034,170.18865726788047,196.56275722718226,196.5551647112226,0.06000414820320282,0.006578311279033982
B-joint,external,external,native_all,no_change,4.491814679852346,30.64079322644049,35.13260792724643,35.08057035635573,,
B-joint,external,external,native_all,perturbation_mean,4.589835145195959,34.303251253167986,38.8930863203817,38.881726586212544,,
B-joint,external,external,native_common,global_mean,4.161620705654976,28.513336151214325,32.674956861307706,32.62463606045705,,
B-joint,external,external,native_common,model,26.372985792540362,170.1585246777368,196.53151051758056,196.5239066469111,0.06413889587341506,0.006591757838580625
B-joint,external,external,native_common,no_change,4.493920292887291,30.652925744251622,35.1468460582427,35.094730664464315,,
B-joint,external,external,native_common,perturbation_mean,4.589835145195959,34.303251253167986,38.8930863203817,38.881726586212544,,
B-joint,external,external,seen,global_mean,4.237102380076567,27.882839397393447,32.11994175703979,32.071685320106276,,
B-joint,external,external,seen,model,27.24076844427187,173.27965342460982,200.5204218379365,200.51405655981065,0.058428404977237676,0.006629092023775431
B-joint,external,external,seen,no_change,4.5365856779378975,29.79516566196575,34.33175137602625,34.28190155537682,,
B-joint,external,external,seen,perturbation_mean,4.733406054768892,34.42920393527835,39.16260989728077,39.1468713563854,,
B-joint,external,external,unseen,global_mean,2.2337618619203568,16.29416275024414,18.52792501449585,18.52792501449585,,
B-joint,external,external,unseen,model,29.30882501602173,192.30928421020508,221.61811065673828,221.61811065673828,-0.04833145141601847,0.007023074245080352
B-joint,external,external,unseen,no_change,2.4763063788414,18.013179779052734,20.48948609828949,20.48948609828949,,
B-joint,external,val,all,global_mean,4.747498432803437,20.27004016061204,25.01753860605073,24.991051109417253,,
B-joint,external,val,all,model,105.9620535182486,434.0450893866774,540.0071428970149,540.0164006080405,0.004898869925169536,0.007498686403121198
B-joint,external,val,all,no_change,4.877595749017426,20.475006116899213,25.35260181546128,25.32582519822338,,
B-joint,external,val,all,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-joint,external,val,native_all,global_mean,6.070032047230181,26.391119169161993,32.46115126473699,32.43002077389663,,
B-joint,external,val,native_all,model,103.76769994233472,420.5780635607243,524.3457633408663,524.354236768232,0.011432898331852084,0.0071051252112947555
B-joint,external,val,native_all,no_change,6.347072728181362,27.364456687918732,33.711529335853925,33.67961249508778,,
B-joint,external,val,native_all,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-joint,external,val,native_common,global_mean,6.0193024938351,26.27548722213913,32.29478976920751,32.26318116101522,,
B-joint,external,val,native_common,model,103.60531795581362,420.3529021295258,523.9582199202233,523.9668237291891,0.012557371200909573,0.0072061244151250155
B-joint,external,val,native_common,no_change,6.293661360476037,27.237443619138734,33.53110489231618,33.498697874366776,,
B-joint,external,val,native_common,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-joint,external,val,seen,global_mean,4.7603540020359025,20.510574426231344,25.270928454076326,25.24242623679613,,
